
OUTPUT


.
.
.
| 99280  |      3       |
| 99281  |      3       |
| 99282  |      1       |
| 99284  |      1       |
| 99285  |      2       |
| 99287  |      1       |
| 99288  |      2       |
| 99291  |      2       |
| 99294  |      1       |
| 99295  |      2       |
| 99296  |      1       |
| 99301  |      1       |
| 99305  |      1       |
| 99306  |      1       |
| 99307  |      1       |
|  9931  |      2       |
| 99322  |      2       |
| 99323  |      4       |
|  9933  |      2       |
| 99330  |      1       |
| 99331  |      4       |
| 99332  |      5       |
| 99335  |      2       |
| 99345  |      1       |
| 99346  |      2       |
| 99347  |      1       |
| 99348  |      1       |
|  9935  |      4       |
| 99356  |      1       |
| 99358  |      2       |
|  9936  |      2       |
| 99360  |      1       |
| 99375  |      1       |
| 99377  |      1       |
| 99379  |      4       |
|  9938  |      1       |
| 99381  |      1       |
| 99382  |      2       |
| 99387  |      2       |
|  9939  |      1       |
| 99390  |      1       |
| 99391  |      1       |
| 99392  |      3       |
| 99393  |      1       |
|  994   |      3       |
|  9940  |      1       |
| 99402  |      1       |
| 99403  |      3       |
|  9941  |      14      |
| 99412  |      2       |
| 99414  |      1       |
| 99415  |      1       |
| 99418  |      2       |
| 99424  |      1       |
| 99427  |      2       |
|  9943  |      20      |
| 99434  |      3       |
| 99437  |      1       |
| 99441  |      1       |
| 99442  |      1       |
| 99444  |      1       |
| 99448  |      1       |
| 99449  |      1       |
| 99452  |      1       |
| 99456  |      2       |
|  9946  |      3       |
| 99467  |      2       |
|  9947  |      5       |
| 99473  |      1       |
| 99475  |      1       |
| 99480  |      2       |
| 99483  |      2       |
| 99484  |      1       |
| 99485  |      1       |
| 99488  |      1       |
| 99489  |      2       |
|  9949  |      1       |
| 99494  |      2       |
| 99495  |      1       |
| 99497  |      1       |
| 99498  |      1       |
|  995   |      2       |
|  9950  |      1       |
| 99501  |      1       |
| 99502  |      4       |
| 99503  |      4       |
| 99504  |      4       |
| 99508  |      1       |
|  9951  |      2       |
| 99510  |      2       |
| 99513  |      1       |
| 99515  |      1       |
| 99517  |      1       |
| 99518  |      1       |
| 99522  |      2       |
| 99524  |      3       |
| 99528  |      2       |
|  9953  |      1       |
| 99530  |      1       |
| 99531  |      1       |
| 99532  |      1       |
| 99534  |      1       |
| 99541  |      7       |
| 99543  |      2       |
| 99545  |      3       |
| 99547  |      4       |
| 99548  |      2       |
|  9955  |      1       |
| 99554  |      1       |
| 99556  |      1       |
|  9956  |      4       |
| 99560  |      1       |
|  9957  |      1       |
| 99572  |      1       |
| 99575  |      3       |
| 99579  |      2       |
|  9958  |      3       |
| 99580  |      1       |
| 99581  |      1       |
| 99585  |      2       |
| 99589  |      3       |
|  9959  |      1       |
| 99590  |      1       |
| 99594  |      4       |
| 99599  |      1       |
|  996   |      1       |
|  9960  |      3       |
| 99601  |      2       |
| 99602  |      2       |
| 99605  |      1       |
| 99606  |      2       |
|  9961  |      2       |
| 99610  |      2       |
| 99614  |      1       |
| 99615  |      1       |
| 99616  |      4       |
| 99619  |      1       |
| 99623  |      1       |
| 99625  |      1       |
| 99626  |      1       |
| 99629  |      1       |
| 99630  |      1       |
| 99631  |      1       |
| 99633  |      1       |
| 99635  |      4       |
| 99638  |      1       |
| 99646  |      1       |
| 99647  |      1       |
| 99648  |      11      |
| 99649  |      2       |
| 99651  |      1       |
| 99652  |      4       |
| 99653  |      1       |
| 99655  |      2       |
| 99659  |      1       |
|  9966  |      20      |
| 99660  |      2       |
| 99664  |      1       |
| 99666  |      1       |
| 99668  |      1       |
| 99672  |      1       |
| 99675  |      1       |
| 99679  |      2       |
| 99680  |      1       |
| 99684  |      5       |
| 99686  |      1       |
| 99687  |      2       |
| 99688  |      2       |
| 99689  |      1       |
| 99690  |      2       |
| 99697  |      1       |
|  9970  |      2       |
| 99705  |      1       |
| 99709  |      1       |
|  9972  |      2       |
| 99724  |      1       |
| 99727  |      1       |
| 99728  |      1       |
| 99732  |      1       |
|  9974  |      4       |
| 99740  |      2       |
| 99742  |      3       |
| 99743  |      1       |
|  9975  |      2       |
| 99751  |      1       |
| 99756  |      1       |
| 99758  |      1       |
| 99759  |      2       |
| 99760  |      2       |
| 99761  |      2       |
| 99764  |      3       |
| 99765  |      1       |
| 99769  |      3       |
